Name,OpName,FwOps,BwOps,AccOps,InputShapes,OutputShape
nlist_diff,VECmul,"[('VECmul', (30720, 3))]",[],[],"[(30720, 3), (30720, 3)]","(30720, 3)"
nlist_dist,VECadd,"[('VECadd', (30720, 1))]",[],[],"[(30720, 3)]","(30720, 1)"
nlist_mask,MEM,"[('MEM', [(30720, 1)])]",[],[],"[(30720, 1)]","(30720, 1)"
env_matrix_gather,MEM,"[('MEM', [(256, 120, 4)])]",[],[],"[(30720, 3)]","(256, 120, 4)"
smooth_func,VECmul,"[('VECmul', (30720, 1))]",[],[],"[(30720, 1), (30720, 1)]","(30720, 1)"
emb_linear_0,Linear,"[('Linear', (30720, 1, 25))]",[],[],"[(30720, 1)]","(30720, 25)"
emb_act_0,VECtanh,"[('VECtanh', (30720, 25))]",[],[],"[(30720, 25)]","(30720, 25)"
emb_linear_1,Linear,"[('Linear', (30720, 25, 50))]",[],[],"[(30720, 25)]","(30720, 50)"
emb_act_1,VECtanh,"[('VECtanh', (30720, 50))]",[],[],"[(30720, 50)]","(30720, 50)"
emb_linear_2,Linear,"[('Linear', (30720, 50, 100))]",[],[],"[(30720, 50)]","(30720, 100)"
emb_act_2,VECtanh,"[('VECtanh', (30720, 100))]",[],[],"[(30720, 100)]","(30720, 100)"
desc_matmul_1,BMM,"[('BMM', (256, 100, 120, 4))]",[],[],"[(256, 120, 100)]","(256, 100, 4)"
desc_matmul_2,BMM,"[('BMM', (256, 4, 100, 16))]",[],[],"[(256, 4, 100)]","(256, 4, 16)"
desc_reshape,MEM,"[('MEM', [(256, 64)])]",[],[],"[(256, 4, 16)]","(256, 64)"
fit_linear_0,Linear,"[('Linear', (256, 64, 240))]",[],[],"[(256, 64)]","(256, 240)"
fit_act_0,VECtanh,"[('VECtanh', (256, 240))]",[],[],"[(256, 240)]","(256, 240)"
fit_linear_1,Linear,"[('Linear', (256, 240, 240))]",[],[],"[(256, 240)]","(256, 240)"
fit_act_1,VECtanh,"[('VECtanh', (256, 240))]",[],[],"[(256, 240)]","(256, 240)"
fit_residual_1,VECadd,"[('VECadd', (256, 240))]",[],[],"[(256, 240), (256, 240)]","(256, 240)"
fit_linear_2,Linear,"[('Linear', (256, 240, 240))]",[],[],"[(256, 240)]","(256, 240)"
fit_act_2,VECtanh,"[('VECtanh', (256, 240))]",[],[],"[(256, 240)]","(256, 240)"
fit_residual_2,VECadd,"[('VECadd', (256, 240))]",[],[],"[(256, 240), (256, 240)]","(256, 240)"
output_linear,Linear,"[('Linear', (256, 240, 1))]",[],[],"[(256, 240)]","(256, 1)"
energy_sum,VECadd,"[('VECadd', (256, 1))]",[],[],"[(256, 1)]","(1,)"
fit_bw_input_2,Linear,"[('Linear', (256, 240, 240))]",[],[],"[(256, 240)]","(256, 240)"
fit_bw_act_2,VECmul,"[('VECmul', (256, 240))]",[],[],"[(256, 240), (256, 240)]","(256, 240)"
fit_bw_input_1,Linear,"[('Linear', (256, 240, 240))]",[],[],"[(256, 240)]","(256, 240)"
fit_bw_act_1,VECmul,"[('VECmul', (256, 240))]",[],[],"[(256, 240), (256, 240)]","(256, 240)"
fit_bw_input_0,Linear,"[('Linear', (256, 240, 64))]",[],[],"[(256, 240)]","(256, 64)"
fit_bw_act_0,VECmul,"[('VECmul', (256, 240))]",[],[],"[(256, 240), (256, 240)]","(256, 240)"
output_bw,Linear,"[('Linear', (256, 1, 240))]",[],[],"[(256, 1)]","(256, 240)"
desc_bw_matmul,BMM,"[('BMM', (256, 120, 100, 4))]",[],[],"[(256, 100, 4)]","(256, 120, 100)"
emb_bw_input_2,Linear,"[('Linear', (30720, 100, 50))]",[],[],"[(30720, 100)]","(30720, 50)"
emb_bw_act_2,VECmul,"[('VECmul', (30720, 100))]",[],[],"[(30720, 100), (30720, 100)]","(30720, 100)"
emb_bw_input_1,Linear,"[('Linear', (30720, 50, 25))]",[],[],"[(30720, 50)]","(30720, 25)"
emb_bw_act_1,VECmul,"[('VECmul', (30720, 50))]",[],[],"[(30720, 50), (30720, 50)]","(30720, 50)"
emb_bw_input_0,Linear,"[('Linear', (30720, 25, 1))]",[],[],"[(30720, 25)]","(30720, 1)"
emb_bw_act_0,VECmul,"[('VECmul', (30720, 25))]",[],[],"[(30720, 25), (30720, 25)]","(30720, 25)"
