Name,OpName,FwOps,BwOps,AccOps,InputShapes,OutputShape
nlist_gather,MEM,"[('MEM', [(8388608, 3)])]",[],[],"[(8388608, 3)]","(8388608, 3)"
env_gather,MEM,"[('MEM', [(4096, 2048, 3)])]",[],[],"[(4096, 2048, 3)]","(4096, 2048, 3)"
env_diff_norm,VECadd,"[('VECadd', (8388608, 3))]",[],[],"[(8388608, 3), (8388608, 3)]","(8388608, 3)"
env_inv_r,VECmul,"[('VECmul', (8388608, 4))]",[],[],"[(8388608, 4)]","(8388608, 4)"
env_smooth_weight,VECmul,"[('VECmul', (8388608, 1))]",[],[],"[(8388608, 1)]","(8388608, 1)"
env_mat_mul,VECmul,"[('VECmul', (8388608, 4))]",[],[],"[(8388608, 4), (8388608, 1)]","(8388608, 4)"
env_normalize,VECadd,"[('VECadd', (8388608, 4))]",[],[],"[(8388608, 4), (8388608, 4)]","(8388608, 4)"
emb_t0_linear_0,Linear,"[('Linear', (2097152, 1, 16))]",[],[],"[(2097152, 1)]","(2097152, 16)"
emb_t0_act_0,VECtanh,"[('VECtanh', (2097152, 16))]",[],[],"[(2097152, 16)]","(2097152, 16)"
emb_t0_linear_1,Linear,"[('Linear', (2097152, 16, 32))]",[],[],"[(2097152, 16)]","(2097152, 32)"
emb_t0_act_1,VECtanh,"[('VECtanh', (2097152, 32))]",[],[],"[(2097152, 32)]","(2097152, 32)"
emb_t0_concat_1,MEM,"[('MEM', [(2097152, 32)])]",[],[],"[(2097152, 16)]","(2097152, 32)"
emb_t0_res_1,VECadd,"[('VECadd', (2097152, 32))]",[],[],"[(2097152, 32), (2097152, 32)]","(2097152, 32)"
emb_t0_linear_2,Linear,"[('Linear', (2097152, 32, 64))]",[],[],"[(2097152, 32)]","(2097152, 64)"
emb_t0_act_2,VECtanh,"[('VECtanh', (2097152, 64))]",[],[],"[(2097152, 64)]","(2097152, 64)"
emb_t0_concat_2,MEM,"[('MEM', [(2097152, 64)])]",[],[],"[(2097152, 32)]","(2097152, 64)"
emb_t0_res_2,VECadd,"[('VECadd', (2097152, 64))]",[],[],"[(2097152, 64), (2097152, 64)]","(2097152, 64)"
emb_t0_matmul,BMM,"[('BMM', (4096, 4, 512, 64))]",[],[],"[(4096, 512, 4), (4096, 512, 64)]","(4096, 4, 64)"
emb_t1_linear_0,Linear,"[('Linear', (2097152, 1, 16))]",[],[],"[(2097152, 1)]","(2097152, 16)"
emb_t1_act_0,VECtanh,"[('VECtanh', (2097152, 16))]",[],[],"[(2097152, 16)]","(2097152, 16)"
emb_t1_linear_1,Linear,"[('Linear', (2097152, 16, 32))]",[],[],"[(2097152, 16)]","(2097152, 32)"
emb_t1_act_1,VECtanh,"[('VECtanh', (2097152, 32))]",[],[],"[(2097152, 32)]","(2097152, 32)"
emb_t1_concat_1,MEM,"[('MEM', [(2097152, 32)])]",[],[],"[(2097152, 16)]","(2097152, 32)"
emb_t1_res_1,VECadd,"[('VECadd', (2097152, 32))]",[],[],"[(2097152, 32), (2097152, 32)]","(2097152, 32)"
emb_t1_linear_2,Linear,"[('Linear', (2097152, 32, 64))]",[],[],"[(2097152, 32)]","(2097152, 64)"
emb_t1_act_2,VECtanh,"[('VECtanh', (2097152, 64))]",[],[],"[(2097152, 64)]","(2097152, 64)"
emb_t1_concat_2,MEM,"[('MEM', [(2097152, 64)])]",[],[],"[(2097152, 32)]","(2097152, 64)"
emb_t1_res_2,VECadd,"[('VECadd', (2097152, 64))]",[],[],"[(2097152, 64), (2097152, 64)]","(2097152, 64)"
