Name,OpName,FwOps,BwOps,AccOps,InputShapes,OutputShape
fit_linear_0,Linear,"[('Linear', (64, 1024, 240))]",[],[],"[(64, 1024)]","(64, 240)"
fit_act_0,VECrelu,"[('VECrelu', (64, 240))]",[],[],"[(64, 240)]","(64, 240)"
fit_linear_1,Linear,"[('Linear', (64, 240, 240))]",[],[],"[(64, 240)]","(64, 240)"
fit_act_1,VECrelu,"[('VECrelu', (64, 240))]",[],[],"[(64, 240)]","(64, 240)"
fit_res_1,VECadd,"[('VECadd', (64, 240))]",[],[],"[(64, 240), (64, 240)]","(64, 240)"
fit_linear_2,Linear,"[('Linear', (64, 240, 240))]",[],[],"[(64, 240)]","(64, 240)"
fit_act_2,VECrelu,"[('VECrelu', (64, 240))]",[],[],"[(64, 240)]","(64, 240)"
fit_res_2,VECadd,"[('VECadd', (64, 240))]",[],[],"[(64, 240), (64, 240)]","(64, 240)"
output_linear,Linear,"[('Linear', (64, 240, 1))]",[],[],"[(64, 240)]","(64, 1)"
energy_sum,VECadd,"[('VECadd', (64, 1))]",[],[],"[(64, 1)]","(1,)"
