Name,OpName,FwOps,BwOps,AccOps,InputShapes,OutputShape
nlist_gather,MEM,"[('MEM', [(786432, 3)])]",[],[],"[(786432, 3)]","(786432, 3)"
env_gather,MEM,"[('MEM', [(384, 2048, 3)])]",[],[],"[(384, 2048, 3)]","(384, 2048, 3)"
env_diff_norm,VECadd,"[('VECadd', (786432, 3))]",[],[],"[(786432, 3), (786432, 3)]","(786432, 3)"
env_inv_r,VECmul,"[('VECmul', (786432, 4))]",[],[],"[(786432, 4)]","(786432, 4)"
env_smooth_weight,VECmul,"[('VECmul', (786432, 1))]",[],[],"[(786432, 1)]","(786432, 1)"
env_mat_mul,VECmul,"[('VECmul', (786432, 4))]",[],[],"[(786432, 4), (786432, 1)]","(786432, 4)"
env_normalize,VECadd,"[('VECadd', (786432, 4))]",[],[],"[(786432, 4), (786432, 4)]","(786432, 4)"
emb_t0_linear_0,Linear,"[('Linear', (196608, 1, 16))]",[],[],"[(196608, 1)]","(196608, 16)"
emb_t0_act_0,VECtanh,"[('VECtanh', (196608, 16))]",[],[],"[(196608, 16)]","(196608, 16)"
emb_t0_linear_1,Linear,"[('Linear', (196608, 16, 32))]",[],[],"[(196608, 16)]","(196608, 32)"
emb_t0_act_1,VECtanh,"[('VECtanh', (196608, 32))]",[],[],"[(196608, 32)]","(196608, 32)"
emb_t0_concat_1,MEM,"[('MEM', [(196608, 32)])]",[],[],"[(196608, 16)]","(196608, 32)"
emb_t0_res_1,VECadd,"[('VECadd', (196608, 32))]",[],[],"[(196608, 32), (196608, 32)]","(196608, 32)"
emb_t0_linear_2,Linear,"[('Linear', (196608, 32, 64))]",[],[],"[(196608, 32)]","(196608, 64)"
emb_t0_act_2,VECtanh,"[('VECtanh', (196608, 64))]",[],[],"[(196608, 64)]","(196608, 64)"
emb_t0_concat_2,MEM,"[('MEM', [(196608, 64)])]",[],[],"[(196608, 32)]","(196608, 64)"
emb_t0_res_2,VECadd,"[('VECadd', (196608, 64))]",[],[],"[(196608, 64), (196608, 64)]","(196608, 64)"
emb_t0_matmul,BMM,"[('BMM', (384, 4, 512, 64))]",[],[],"[(384, 512, 4), (384, 512, 64)]","(384, 4, 64)"
emb_t1_linear_0,Linear,"[('Linear', (196608, 1, 16))]",[],[],"[(196608, 1)]","(196608, 16)"
emb_t1_act_0,VECtanh,"[('VECtanh', (196608, 16))]",[],[],"[(196608, 16)]","(196608, 16)"
emb_t1_linear_1,Linear,"[('Linear', (196608, 16, 32))]",[],[],"[(196608, 16)]","(196608, 32)"
emb_t1_act_1,VECtanh,"[('VECtanh', (196608, 32))]",[],[],"[(196608, 32)]","(196608, 32)"
