Name,OpName,FwOps,BwOps,AccOps,InputShapes,OutputShape
desc_final_matmul,BMM,"[('BMM', (192, 64, 4, 16))]",[],[],"[(192, 64, 4), (192, 4, 16)]","(192, 64, 16)"
desc_reshape,MEM,"[('MEM', [(192, 1024)])]",[],[],"[(192, 64, 16)]","(192, 1024)"
fit_linear_0,Linear,"[('Linear', (192, 1024, 240))]",[],[],"[(192, 1024)]","(192, 240)"
fit_act_0,VECrelu,"[('VECrelu', (192, 240))]",[],[],"[(192, 240)]","(192, 240)"
fit_linear_1,Linear,"[('Linear', (192, 240, 240))]",[],[],"[(192, 240)]","(192, 240)"
fit_act_1,VECrelu,"[('VECrelu', (192, 240))]",[],[],"[(192, 240)]","(192, 240)"
fit_res_1,VECadd,"[('VECadd', (192, 240))]",[],[],"[(192, 240), (192, 240)]","(192, 240)"
fit_linear_2,Linear,"[('Linear', (192, 240, 240))]",[],[],"[(192, 240)]","(192, 240)"
fit_act_2,VECrelu,"[('VECrelu', (192, 240))]",[],[],"[(192, 240)]","(192, 240)"
fit_res_2,VECadd,"[('VECadd', (192, 240))]",[],[],"[(192, 240), (192, 240)]","(192, 240)"
output_linear,Linear,"[('Linear', (192, 240, 1))]",[],[],"[(192, 240)]","(192, 1)"
energy_sum,VECadd,"[('VECadd', (192, 1))]",[],[],"[(192, 1)]","(1,)"
output_bw,Linear,"[('Linear', (192, 1, 240))]",[],[],"[(192, 1)]","(192, 240)"
fit_bw_input_2,Linear,"[('Linear', (192, 240, 240))]",[],[],"[(192, 240)]","(192, 240)"
fit_bw_act_2,VECmul,"[('VECmul', (192, 240))]",[],[],"[(192, 240), (192, 240)]","(192, 240)"
fit_bw_input_1,Linear,"[('Linear', (192, 240, 240))]",[],[],"[(192, 240)]","(192, 240)"
fit_bw_act_1,VECmul,"[('VECmul', (192, 240))]",[],[],"[(192, 240), (192, 240)]","(192, 240)"
fit_bw_input_0,Linear,"[('Linear', (192, 240, 1024))]",[],[],"[(192, 240)]","(192, 1024)"
fit_bw_act_0,VECmul,"[('VECmul', (192, 240))]",[],[],"[(192, 240), (192, 240)]","(192, 240)"
desc_bw_matmul,BMM,"[('BMM', (192, 64, 16, 4))]",[],[],"[(192, 64, 16)]","(192, 64, 4)"
emb_t0_bw_matmul,BMM,"[('BMM', (192, 512, 4, 64))]",[],[],"[(192, 4, 64)]","(192, 512, 64)"
emb_t0_bw_input_2,Linear,"[('Linear', (98304, 64, 32))]",[],[],"[(98304, 64)]","(98304, 32)"
emb_t0_bw_act_2,VECmul,"[('VECmul', (98304, 64))]",[],[],"[(98304, 64), (98304, 64)]","(98304, 64)"
emb_t0_bw_input_1,Linear,"[('Linear', (98304, 32, 16))]",[],[],"[(98304, 32)]","(98304, 16)"
emb_t0_bw_act_1,VECmul,"[('VECmul', (98304, 32))]",[],[],"[(98304, 32), (98304, 32)]","(98304, 32)"
emb_t0_bw_input_0,Linear,"[('Linear', (98304, 16, 1))]",[],[],"[(98304, 16)]","(98304, 1)"
emb_t0_bw_act_0,VECmul,"[('VECmul', (98304, 16))]",[],[],"[(98304, 16), (98304, 16)]","(98304, 16)"
emb_t1_bw_matmul,BMM,"[('BMM', (192, 512, 4, 64))]",[],[],"[(192, 4, 64)]","(192, 512, 64)"
emb_t1_bw_input_2,Linear,"[('Linear', (98304, 64, 32))]",[],[],"[(98304, 64)]","(98304, 32)"
emb_t1_bw_act_2,VECmul,"[('VECmul', (98304, 64))]",[],[],"[(98304, 64), (98304, 64)]","(98304, 64)"
emb_t1_bw_input_1,Linear,"[('Linear', (98304, 32, 16))]",[],[],"[(98304, 32)]","(98304, 16)"
emb_t1_bw_act_1,VECmul,"[('VECmul', (98304, 32))]",[],[],"[(98304, 32), (98304, 32)]","(98304, 32)"
emb_t1_bw_input_0,Linear,"[('Linear', (98304, 16, 1))]",[],[],"[(98304, 16)]","(98304, 1)"
emb_t1_bw_act_0,VECmul,"[('VECmul', (98304, 16))]",[],[],"[(98304, 16), (98304, 16)]","(98304, 16)"
emb_t2_bw_matmul,BMM,"[('BMM', (192, 512, 4, 64))]",[],[],"[(192, 4, 64)]","(192, 512, 64)"
emb_t2_bw_input_2,Linear,"[('Linear', (98304, 64, 32))]",[],[],"[(98304, 64)]","(98304, 32)"
emb_t2_bw_act_2,VECmul,"[('VECmul', (98304, 64))]",[],[],"[(98304, 64), (98304, 64)]","(98304, 64)"
emb_t2_bw_input_1,Linear,"[('Linear', (98304, 32, 16))]",[],[],"[(98304, 32)]","(98304, 16)"
emb_t2_bw_act_1,VECmul,"[('VECmul', (98304, 32))]",[],[],"[(98304, 32), (98304, 32)]","(98304, 32)"
emb_t2_bw_input_0,Linear,"[('Linear', (98304, 16, 1))]",[],[],"[(98304, 16)]","(98304, 1)"
emb_t2_bw_act_0,VECmul,"[('VECmul', (98304, 16))]",[],[],"[(98304, 16), (98304, 16)]","(98304, 16)"
emb_t3_bw_matmul,BMM,"[('BMM', (192, 512, 4, 64))]",[],[],"[(192, 4, 64)]","(192, 512, 64)"
emb_t3_bw_input_2,Linear,"[('Linear', (98304, 64, 32))]",[],[],"[(98304, 64)]","(98304, 32)"
emb_t3_bw_act_2,VECmul,"[('VECmul', (98304, 64))]",[],[],"[(98304, 64), (98304, 64)]","(98304, 64)"
emb_t3_bw_input_1,Linear,"[('Linear', (98304, 32, 16))]",[],[],"[(98304, 32)]","(98304, 16)"
emb_t3_bw_act_1,VECmul,"[('VECmul', (98304, 32))]",[],[],"[(98304, 32), (98304, 32)]","(98304, 32)"
emb_t3_bw_input_0,Linear,"[('Linear', (98304, 16, 1))]",[],[],"[(98304, 16)]","(98304, 1)"
emb_t3_bw_act_0,VECmul,"[('VECmul', (98304, 16))]",[],[],"[(98304, 16), (98304, 16)]","(98304, 16)"
