Name,OpName,FwOps,BwOps,AccOps,InputShapes,OutputShape
nlist_gather,MEM,"[('MEM', [(123648, 3)])]",[],[],"[(123648, 3)]","(123648, 3)"
env_gather,MEM,"[('MEM', [(896, 138, 3)])]",[],[],"[(896, 138, 3)]","(896, 138, 3)"
env_diff_norm,VECadd,"[('VECadd', (123648, 3))]",[],[],"[(123648, 3), (123648, 3)]","(123648, 3)"
env_inv_r,VECmul,"[('VECmul', (123648, 4))]",[],[],"[(123648, 4)]","(123648, 4)"
env_smooth_weight,VECmul,"[('VECmul', (123648, 1))]",[],[],"[(123648, 1)]","(123648, 1)"
env_mat_mul,VECmul,"[('VECmul', (123648, 4))]",[],[],"[(123648, 4), (123648, 1)]","(123648, 4)"
env_normalize,VECadd,"[('VECadd', (123648, 4))]",[],[],"[(123648, 4), (123648, 4)]","(123648, 4)"
emb_t0_linear_0,Linear,"[('Linear', (41216, 1, 25))]",[],[],"[(41216, 1)]","(41216, 25)"
emb_t0_act_0,VECtanh,"[('VECtanh', (41216, 25))]",[],[],"[(41216, 25)]","(41216, 25)"
emb_t0_linear_1,Linear,"[('Linear', (41216, 25, 50))]",[],[],"[(41216, 25)]","(41216, 50)"
emb_t0_act_1,VECtanh,"[('VECtanh', (41216, 50))]",[],[],"[(41216, 50)]","(41216, 50)"
emb_t0_concat_1,MEM,"[('MEM', [(41216, 50)])]",[],[],"[(41216, 25)]","(41216, 50)"
emb_t0_res_1,VECadd,"[('VECadd', (41216, 50))]",[],[],"[(41216, 50), (41216, 50)]","(41216, 50)"
emb_t0_linear_2,Linear,"[('Linear', (41216, 50, 100))]",[],[],"[(41216, 50)]","(41216, 100)"
emb_t0_act_2,VECtanh,"[('VECtanh', (41216, 100))]",[],[],"[(41216, 100)]","(41216, 100)"
emb_t0_concat_2,MEM,"[('MEM', [(41216, 100)])]",[],[],"[(41216, 50)]","(41216, 100)"
emb_t0_res_2,VECadd,"[('VECadd', (41216, 100))]",[],[],"[(41216, 100), (41216, 100)]","(41216, 100)"
emb_t0_matmul,BMM,"[('BMM', (896, 4, 46, 100))]",[],[],"[(896, 46, 4), (896, 46, 100)]","(896, 4, 100)"
emb_t1_linear_0,Linear,"[('Linear', (82432, 1, 25))]",[],[],"[(82432, 1)]","(82432, 25)"
emb_t1_act_0,VECtanh,"[('VECtanh', (82432, 25))]",[],[],"[(82432, 25)]","(82432, 25)"
emb_t1_linear_1,Linear,"[('Linear', (82432, 25, 50))]",[],[],"[(82432, 25)]","(82432, 50)"
emb_t1_act_1,VECtanh,"[('VECtanh', (82432, 50))]",[],[],"[(82432, 50)]","(82432, 50)"
emb_t1_concat_1,MEM,"[('MEM', [(82432, 50)])]",[],[],"[(82432, 25)]","(82432, 50)"
emb_t1_res_1,VECadd,"[('VECadd', (82432, 50))]",[],[],"[(82432, 50), (82432, 50)]","(82432, 50)"
emb_t1_linear_2,Linear,"[('Linear', (82432, 50, 100))]",[],[],"[(82432, 50)]","(82432, 100)"
emb_t1_act_2,VECtanh,"[('VECtanh', (82432, 100))]",[],[],"[(82432, 100)]","(82432, 100)"
emb_t1_concat_2,MEM,"[('MEM', [(82432, 100)])]",[],[],"[(82432, 50)]","(82432, 100)"
emb_t1_res_2,VECadd,"[('VECadd', (82432, 100))]",[],[],"[(82432, 100), (82432, 100)]","(82432, 100)"
emb_t1_matmul,BMM,"[('BMM', (896, 4, 92, 100))]",[],[],"[(896, 92, 4), (896, 92, 100)]","(896, 4, 100)"
emb_t1_accum,VECadd,"[('VECadd', (896, 400))]",[],[],"[(896, 400), (896, 400)]","(896, 400)"
desc_normalize,VECmul,"[('VECmul', (896, 400))]",[],[],"[(896, 400)]","(896, 400)"
desc_final_matmul,BMM,"[('BMM', (896, 100, 4, 16))]",[],[],"[(896, 100, 4), (896, 4, 16)]","(896, 100, 16)"
desc_reshape,MEM,"[('MEM', [(896, 1600)])]",[],[],"[(896, 100, 16)]","(896, 1600)"
fit_linear_0,Linear,"[('Linear', (896, 1600, 240))]",[],[],"[(896, 1600)]","(896, 240)"
fit_act_0,VECtanh,"[('VECtanh', (896, 240))]",[],[],"[(896, 240)]","(896, 240)"
fit_linear_1,Linear,"[('Linear', (896, 240, 240))]",[],[],"[(896, 240)]","(896, 240)"
fit_act_1,VECtanh,"[('VECtanh', (896, 240))]",[],[],"[(896, 240)]","(896, 240)"
fit_res_1,VECadd,"[('VECadd', (896, 240))]",[],[],"[(896, 240), (896, 240)]","(896, 240)"
fit_linear_2,Linear,"[('Linear', (896, 240, 240))]",[],[],"[(896, 240)]","(896, 240)"
fit_act_2,VECtanh,"[('VECtanh', (896, 240))]",[],[],"[(896, 240)]","(896, 240)"
fit_res_2,VECadd,"[('VECadd', (896, 240))]",[],[],"[(896, 240), (896, 240)]","(896, 240)"
output_linear,Linear,"[('Linear', (896, 240, 1))]",[],[],"[(896, 240)]","(896, 1)"
energy_sum,VECadd,"[('VECadd', (896, 1))]",[],[],"[(896, 1)]","(1,)"
output_bw,Linear,"[('Linear', (896, 1, 240))]",[],[],"[(896, 1)]","(896, 240)"
fit_bw_input_2,Linear,"[('Linear', (896, 240, 240))]",[],[],"[(896, 240)]","(896, 240)"
fit_bw_act_2,VECmul,"[('VECmul', (896, 240))]",[],[],"[(896, 240), (896, 240)]","(896, 240)"
fit_bw_input_1,Linear,"[('Linear', (896, 240, 240))]",[],[],"[(896, 240)]","(896, 240)"
fit_bw_act_1,VECmul,"[('VECmul', (896, 240))]",[],[],"[(896, 240), (896, 240)]","(896, 240)"
