Name,OpName,FwOps,BwOps,AccOps,InputShapes,OutputShape
nlist_diff,VECmul,"[('VECmul', (8832, 3))]",[],[],"[(8832, 3), (8832, 3)]","(8832, 3)"
nlist_dist,VECadd,"[('VECadd', (8832, 1))]",[],[],"[(8832, 3)]","(8832, 1)"
nlist_mask,MEM,"[('MEM', [(8832, 1)])]",[],[],"[(8832, 1)]","(8832, 1)"
env_matrix_gather,MEM,"[('MEM', [(64, 138, 4)])]",[],[],"[(8832, 3)]","(64, 138, 4)"
smooth_func,VECmul,"[('VECmul', (8832, 1))]",[],[],"[(8832, 1), (8832, 1)]","(8832, 1)"
emb_linear_0,Linear,"[('Linear', (8832, 1, 25))]",[],[],"[(8832, 1)]","(8832, 25)"
emb_act_0,VECtanh,"[('VECtanh', (8832, 25))]",[],[],"[(8832, 25)]","(8832, 25)"
emb_linear_1,Linear,"[('Linear', (8832, 25, 50))]",[],[],"[(8832, 25)]","(8832, 50)"
emb_act_1,VECtanh,"[('VECtanh', (8832, 50))]",[],[],"[(8832, 50)]","(8832, 50)"
emb_linear_2,Linear,"[('Linear', (8832, 50, 100))]",[],[],"[(8832, 50)]","(8832, 100)"
emb_act_2,VECtanh,"[('VECtanh', (8832, 100))]",[],[],"[(8832, 100)]","(8832, 100)"
desc_matmul_1,BMM,"[('BMM', (64, 100, 138, 4))]",[],[],"[(64, 138, 100)]","(64, 100, 4)"
desc_matmul_2,BMM,"[('BMM', (64, 4, 100, 16))]",[],[],"[(64, 4, 100)]","(64, 4, 16)"
desc_reshape,MEM,"[('MEM', [(64, 64)])]",[],[],"[(64, 4, 16)]","(64, 64)"
fit_linear_0,Linear,"[('Linear', (64, 64, 240))]",[],[],"[(64, 64)]","(64, 240)"
fit_act_0,VECtanh,"[('VECtanh', (64, 240))]",[],[],"[(64, 240)]","(64, 240)"
fit_linear_1,Linear,"[('Linear', (64, 240, 240))]",[],[],"[(64, 240)]","(64, 240)"
fit_act_1,VECtanh,"[('VECtanh', (64, 240))]",[],[],"[(64, 240)]","(64, 240)"
fit_residual_1,VECadd,"[('VECadd', (64, 240))]",[],[],"[(64, 240), (64, 240)]","(64, 240)"
fit_linear_2,Linear,"[('Linear', (64, 240, 240))]",[],[],"[(64, 240)]","(64, 240)"
fit_act_2,VECtanh,"[('VECtanh', (64, 240))]",[],[],"[(64, 240)]","(64, 240)"
fit_residual_2,VECadd,"[('VECadd', (64, 240))]",[],[],"[(64, 240), (64, 240)]","(64, 240)"
output_linear,Linear,"[('Linear', (64, 240, 1))]",[],[],"[(64, 240)]","(64, 1)"
energy_sum,VECadd,"[('VECadd', (64, 1))]",[],[],"[(64, 1)]","(1,)"
fit_bw_input_2,Linear,"[('Linear', (64, 240, 240))]",[],[],"[(64, 240)]","(64, 240)"
fit_bw_act_2,VECmul,"[('VECmul', (64, 240))]",[],[],"[(64, 240), (64, 240)]","(64, 240)"
fit_bw_input_1,Linear,"[('Linear', (64, 240, 240))]",[],[],"[(64, 240)]","(64, 240)"
fit_bw_act_1,VECmul,"[('VECmul', (64, 240))]",[],[],"[(64, 240), (64, 240)]","(64, 240)"
fit_bw_input_0,Linear,"[('Linear', (64, 240, 64))]",[],[],"[(64, 240)]","(64, 64)"
fit_bw_act_0,VECmul,"[('VECmul', (64, 240))]",[],[],"[(64, 240), (64, 240)]","(64, 240)"
output_bw,Linear,"[('Linear', (64, 1, 240))]",[],[],"[(64, 1)]","(64, 240)"
desc_bw_matmul,BMM,"[('BMM', (64, 138, 100, 4))]",[],[],"[(64, 100, 4)]","(64, 138, 100)"
emb_bw_input_2,Linear,"[('Linear', (8832, 100, 50))]",[],[],"[(8832, 100)]","(8832, 50)"
emb_bw_act_2,VECmul,"[('VECmul', (8832, 100))]",[],[],"[(8832, 100), (8832, 100)]","(8832, 100)"
emb_bw_input_1,Linear,"[('Linear', (8832, 50, 25))]",[],[],"[(8832, 50)]","(8832, 25)"
emb_bw_act_1,VECmul,"[('VECmul', (8832, 50))]",[],[],"[(8832, 50), (8832, 50)]","(8832, 50)"
emb_bw_input_0,Linear,"[('Linear', (8832, 25, 1))]",[],[],"[(8832, 25)]","(8832, 1)"
emb_bw_act_0,VECmul,"[('VECmul', (8832, 25))]",[],[],"[(8832, 25), (8832, 25)]","(8832, 25)"
