Name,OpName,FwOps,BwOps,AccOps,InputShapes,OutputShape
nlist_diff,VECmul,"[('VECmul', (35328, 3))]",[],[],"[(35328, 3), (35328, 3)]","(35328, 3)"
nlist_dist,VECadd,"[('VECadd', (35328, 1))]",[],[],"[(35328, 3)]","(35328, 1)"
nlist_mask,MEM,"[('MEM', [(35328, 1)])]",[],[],"[(35328, 1)]","(35328, 1)"
env_matrix_gather,MEM,"[('MEM', [(256, 138, 4)])]",[],[],"[(35328, 3)]","(256, 138, 4)"
smooth_func,VECmul,"[('VECmul', (35328, 1))]",[],[],"[(35328, 1), (35328, 1)]","(35328, 1)"
emb_linear_0,Linear,"[('Linear', (35328, 1, 25))]",[],[],"[(35328, 1)]","(35328, 25)"
emb_act_0,VECtanh,"[('VECtanh', (35328, 25))]",[],[],"[(35328, 25)]","(35328, 25)"
emb_linear_1,Linear,"[('Linear', (35328, 25, 50))]",[],[],"[(35328, 25)]","(35328, 50)"
emb_act_1,VECtanh,"[('VECtanh', (35328, 50))]",[],[],"[(35328, 50)]","(35328, 50)"
emb_linear_2,Linear,"[('Linear', (35328, 50, 100))]",[],[],"[(35328, 50)]","(35328, 100)"
emb_act_2,VECtanh,"[('VECtanh', (35328, 100))]",[],[],"[(35328, 100)]","(35328, 100)"
desc_matmul_1,BMM,"[('BMM', (256, 100, 138, 4))]",[],[],"[(256, 138, 100)]","(256, 100, 4)"
desc_matmul_2,BMM,"[('BMM', (256, 4, 100, 16))]",[],[],"[(256, 4, 100)]","(256, 4, 16)"
desc_reshape,MEM,"[('MEM', [(256, 64)])]",[],[],"[(256, 4, 16)]","(256, 64)"
fit_linear_0,Linear,"[('Linear', (256, 64, 240))]",[],[],"[(256, 64)]","(256, 240)"
fit_act_0,VECtanh,"[('VECtanh', (256, 240))]",[],[],"[(256, 240)]","(256, 240)"
fit_linear_1,Linear,"[('Linear', (256, 240, 240))]",[],[],"[(256, 240)]","(256, 240)"
fit_act_1,VECtanh,"[('VECtanh', (256, 240))]",[],[],"[(256, 240)]","(256, 240)"
fit_residual_1,VECadd,"[('VECadd', (256, 240))]",[],[],"[(256, 240), (256, 240)]","(256, 240)"
fit_linear_2,Linear,"[('Linear', (256, 240, 240))]",[],[],"[(256, 240)]","(256, 240)"
fit_act_2,VECtanh,"[('VECtanh', (256, 240))]",[],[],"[(256, 240)]","(256, 240)"
fit_residual_2,VECadd,"[('VECadd', (256, 240))]",[],[],"[(256, 240), (256, 240)]","(256, 240)"
output_linear,Linear,"[('Linear', (256, 240, 1))]",[],[],"[(256, 240)]","(256, 1)"
energy_sum,VECadd,"[('VECadd', (256, 1))]",[],[],"[(256, 1)]","(1,)"
fit_bw_input_2,Linear,"[('Linear', (256, 240, 240))]",[],[],"[(256, 240)]","(256, 240)"
fit_bw_act_2,VECmul,"[('VECmul', (256, 240))]",[],[],"[(256, 240), (256, 240)]","(256, 240)"
fit_bw_input_1,Linear,"[('Linear', (256, 240, 240))]",[],[],"[(256, 240)]","(256, 240)"
fit_bw_act_1,VECmul,"[('VECmul', (256, 240))]",[],[],"[(256, 240), (256, 240)]","(256, 240)"
fit_bw_input_0,Linear,"[('Linear', (256, 240, 64))]",[],[],"[(256, 240)]","(256, 64)"
fit_bw_act_0,VECmul,"[('VECmul', (256, 240))]",[],[],"[(256, 240), (256, 240)]","(256, 240)"
output_bw,Linear,"[('Linear', (256, 1, 240))]",[],[],"[(256, 1)]","(256, 240)"
desc_bw_matmul,BMM,"[('BMM', (256, 138, 100, 4))]",[],[],"[(256, 100, 4)]","(256, 138, 100)"
emb_bw_input_2,Linear,"[('Linear', (35328, 100, 50))]",[],[],"[(35328, 100)]","(35328, 50)"
emb_bw_act_2,VECmul,"[('VECmul', (35328, 100))]",[],[],"[(35328, 100), (35328, 100)]","(35328, 100)"
emb_bw_input_1,Linear,"[('Linear', (35328, 50, 25))]",[],[],"[(35328, 50)]","(35328, 25)"
emb_bw_act_1,VECmul,"[('VECmul', (35328, 50))]",[],[],"[(35328, 50), (35328, 50)]","(35328, 50)"
emb_bw_input_0,Linear,"[('Linear', (35328, 25, 1))]",[],[],"[(35328, 25)]","(35328, 1)"
emb_bw_act_0,VECmul,"[('VECmul', (35328, 25))]",[],[],"[(35328, 25), (35328, 25)]","(35328, 25)"
