Name,OpName,FwOps,BwOps,AccOps,InputShapes,OutputShape
nlist_gather,MEM,"[('MEM', [(3932160, 3)])]",[],[],"[(3932160, 3)]","(3932160, 3)"
env_gather,MEM,"[('MEM', [(8192, 480, 3)])]",[],[],"[(8192, 480, 3)]","(8192, 480, 3)"
env_diff_norm,VECadd,"[('VECadd', (3932160, 3))]",[],[],"[(3932160, 3), (3932160, 3)]","(3932160, 3)"
env_inv_r,VECmul,"[('VECmul', (3932160, 4))]",[],[],"[(3932160, 4)]","(3932160, 4)"
env_smooth_weight,VECmul,"[('VECmul', (3932160, 1))]",[],[],"[(3932160, 1)]","(3932160, 1)"
env_mat_mul,VECmul,"[('VECmul', (3932160, 4))]",[],[],"[(3932160, 4), (3932160, 1)]","(3932160, 4)"
env_normalize,VECadd,"[('VECadd', (3932160, 4))]",[],[],"[(3932160, 4), (3932160, 4)]","(3932160, 4)"
emb_t0_linear_0,Linear,"[('Linear', (655360, 1, 16))]",[],[],"[(655360, 1)]","(655360, 16)"
emb_t0_act_0,VECtanh,"[('VECtanh', (655360, 16))]",[],[],"[(655360, 16)]","(655360, 16)"
emb_t0_linear_1,Linear,"[('Linear', (655360, 16, 32))]",[],[],"[(655360, 16)]","(655360, 32)"
emb_t0_act_1,VECtanh,"[('VECtanh', (655360, 32))]",[],[],"[(655360, 32)]","(655360, 32)"
emb_t0_concat_1,MEM,"[('MEM', [(655360, 32)])]",[],[],"[(655360, 16)]","(655360, 32)"
emb_t0_res_1,VECadd,"[('VECadd', (655360, 32))]",[],[],"[(655360, 32), (655360, 32)]","(655360, 32)"
emb_t0_linear_2,Linear,"[('Linear', (655360, 32, 64))]",[],[],"[(655360, 32)]","(655360, 64)"
emb_t0_act_2,VECtanh,"[('VECtanh', (655360, 64))]",[],[],"[(655360, 64)]","(655360, 64)"
emb_t0_concat_2,MEM,"[('MEM', [(655360, 64)])]",[],[],"[(655360, 32)]","(655360, 64)"
emb_t0_res_2,VECadd,"[('VECadd', (655360, 64))]",[],[],"[(655360, 64), (655360, 64)]","(655360, 64)"
emb_t0_matmul,BMM,"[('BMM', (8192, 4, 80, 64))]",[],[],"[(8192, 80, 4), (8192, 80, 64)]","(8192, 4, 64)"
emb_t1_linear_0,Linear,"[('Linear', (655360, 1, 16))]",[],[],"[(655360, 1)]","(655360, 16)"
emb_t1_act_0,VECtanh,"[('VECtanh', (655360, 16))]",[],[],"[(655360, 16)]","(655360, 16)"
emb_t1_linear_1,Linear,"[('Linear', (655360, 16, 32))]",[],[],"[(655360, 16)]","(655360, 32)"
emb_t1_act_1,VECtanh,"[('VECtanh', (655360, 32))]",[],[],"[(655360, 32)]","(655360, 32)"
emb_t1_concat_1,MEM,"[('MEM', [(655360, 32)])]",[],[],"[(655360, 16)]","(655360, 32)"
emb_t1_res_1,VECadd,"[('VECadd', (655360, 32))]",[],[],"[(655360, 32), (655360, 32)]","(655360, 32)"
emb_t1_linear_2,Linear,"[('Linear', (655360, 32, 64))]",[],[],"[(655360, 32)]","(655360, 64)"
emb_t1_act_2,VECtanh,"[('VECtanh', (655360, 64))]",[],[],"[(655360, 64)]","(655360, 64)"
emb_t1_concat_2,MEM,"[('MEM', [(655360, 64)])]",[],[],"[(655360, 32)]","(655360, 64)"
emb_t1_res_2,VECadd,"[('VECadd', (655360, 64))]",[],[],"[(655360, 64), (655360, 64)]","(655360, 64)"
emb_t1_matmul,BMM,"[('BMM', (8192, 4, 80, 64))]",[],[],"[(8192, 80, 4), (8192, 80, 64)]","(8192, 4, 64)"
emb_t1_accum,VECadd,"[('VECadd', (8192, 256))]",[],[],"[(8192, 256), (8192, 256)]","(8192, 256)"
emb_t2_linear_0,Linear,"[('Linear', (655360, 1, 16))]",[],[],"[(655360, 1)]","(655360, 16)"
emb_t2_act_0,VECtanh,"[('VECtanh', (655360, 16))]",[],[],"[(655360, 16)]","(655360, 16)"
