Name,OpName,FwOps,BwOps,AccOps,InputShapes,OutputShape
nlist_gather,MEM,"[('MEM', [(1966080, 3)])]",[],[],"[(1966080, 3)]","(1966080, 3)"
env_gather,MEM,"[('MEM', [(4096, 480, 3)])]",[],[],"[(4096, 480, 3)]","(4096, 480, 3)"
env_diff_norm,VECadd,"[('VECadd', (1966080, 3))]",[],[],"[(1966080, 3), (1966080, 3)]","(1966080, 3)"
env_inv_r,VECmul,"[('VECmul', (1966080, 4))]",[],[],"[(1966080, 4)]","(1966080, 4)"
env_smooth_weight,VECmul,"[('VECmul', (1966080, 1))]",[],[],"[(1966080, 1)]","(1966080, 1)"
env_mat_mul,VECmul,"[('VECmul', (1966080, 4))]",[],[],"[(1966080, 4), (1966080, 1)]","(1966080, 4)"
env_normalize,VECadd,"[('VECadd', (1966080, 4))]",[],[],"[(1966080, 4), (1966080, 4)]","(1966080, 4)"
emb_t0_linear_0,Linear,"[('Linear', (327680, 1, 16))]",[],[],"[(327680, 1)]","(327680, 16)"
emb_t0_act_0,VECtanh,"[('VECtanh', (327680, 16))]",[],[],"[(327680, 16)]","(327680, 16)"
emb_t0_linear_1,Linear,"[('Linear', (327680, 16, 32))]",[],[],"[(327680, 16)]","(327680, 32)"
emb_t0_act_1,VECtanh,"[('VECtanh', (327680, 32))]",[],[],"[(327680, 32)]","(327680, 32)"
emb_t0_concat_1,MEM,"[('MEM', [(327680, 32)])]",[],[],"[(327680, 16)]","(327680, 32)"
emb_t0_res_1,VECadd,"[('VECadd', (327680, 32))]",[],[],"[(327680, 32), (327680, 32)]","(327680, 32)"
emb_t0_linear_2,Linear,"[('Linear', (327680, 32, 64))]",[],[],"[(327680, 32)]","(327680, 64)"
emb_t0_act_2,VECtanh,"[('VECtanh', (327680, 64))]",[],[],"[(327680, 64)]","(327680, 64)"
emb_t0_concat_2,MEM,"[('MEM', [(327680, 64)])]",[],[],"[(327680, 32)]","(327680, 64)"
emb_t0_res_2,VECadd,"[('VECadd', (327680, 64))]",[],[],"[(327680, 64), (327680, 64)]","(327680, 64)"
emb_t0_matmul,BMM,"[('BMM', (4096, 4, 80, 64))]",[],[],"[(4096, 80, 4), (4096, 80, 64)]","(4096, 4, 64)"
emb_t1_linear_0,Linear,"[('Linear', (327680, 1, 16))]",[],[],"[(327680, 1)]","(327680, 16)"
emb_t1_act_0,VECtanh,"[('VECtanh', (327680, 16))]",[],[],"[(327680, 16)]","(327680, 16)"
emb_t1_linear_1,Linear,"[('Linear', (327680, 16, 32))]",[],[],"[(327680, 16)]","(327680, 32)"
emb_t1_act_1,VECtanh,"[('VECtanh', (327680, 32))]",[],[],"[(327680, 32)]","(327680, 32)"
emb_t1_concat_1,MEM,"[('MEM', [(327680, 32)])]",[],[],"[(327680, 16)]","(327680, 32)"
emb_t1_res_1,VECadd,"[('VECadd', (327680, 32))]",[],[],"[(327680, 32), (327680, 32)]","(327680, 32)"
emb_t1_linear_2,Linear,"[('Linear', (327680, 32, 64))]",[],[],"[(327680, 32)]","(327680, 64)"
emb_t1_act_2,VECtanh,"[('VECtanh', (327680, 64))]",[],[],"[(327680, 64)]","(327680, 64)"
emb_t1_concat_2,MEM,"[('MEM', [(327680, 64)])]",[],[],"[(327680, 32)]","(327680, 64)"
emb_t1_res_2,VECadd,"[('VECadd', (327680, 64))]",[],[],"[(327680, 64), (327680, 64)]","(327680, 64)"
emb_t1_matmul,BMM,"[('BMM', (4096, 4, 80, 64))]",[],[],"[(4096, 80, 4), (4096, 80, 64)]","(4096, 4, 64)"
emb_t1_accum,VECadd,"[('VECadd', (4096, 256))]",[],[],"[(4096, 256), (4096, 256)]","(4096, 256)"
emb_t2_linear_0,Linear,"[('Linear', (327680, 1, 16))]",[],[],"[(327680, 1)]","(327680, 16)"
emb_t2_act_0,VECtanh,"[('VECtanh', (327680, 16))]",[],[],"[(327680, 16)]","(327680, 16)"
emb_t2_linear_1,Linear,"[('Linear', (327680, 16, 32))]",[],[],"[(327680, 16)]","(327680, 32)"
emb_t2_act_1,VECtanh,"[('VECtanh', (327680, 32))]",[],[],"[(327680, 32)]","(327680, 32)"
emb_t2_concat_1,MEM,"[('MEM', [(327680, 32)])]",[],[],"[(327680, 16)]","(327680, 32)"
emb_t2_res_1,VECadd,"[('VECadd', (327680, 32))]",[],[],"[(327680, 32), (327680, 32)]","(327680, 32)"
emb_t2_linear_2,Linear,"[('Linear', (327680, 32, 64))]",[],[],"[(327680, 32)]","(327680, 64)"
emb_t2_act_2,VECtanh,"[('VECtanh', (327680, 64))]",[],[],"[(327680, 64)]","(327680, 64)"
emb_t2_concat_2,MEM,"[('MEM', [(327680, 64)])]",[],[],"[(327680, 32)]","(327680, 64)"
emb_t2_res_2,VECadd,"[('VECadd', (327680, 64))]",[],[],"[(327680, 64), (327680, 64)]","(327680, 64)"
emb_t2_matmul,BMM,"[('BMM', (4096, 4, 80, 64))]",[],[],"[(4096, 80, 4), (4096, 80, 64)]","(4096, 4, 64)"
emb_t2_accum,VECadd,"[('VECadd', (4096, 256))]",[],[],"[(4096, 256), (4096, 256)]","(4096, 256)"
emb_t3_linear_0,Linear,"[('Linear', (327680, 1, 16))]",[],[],"[(327680, 1)]","(327680, 16)"
emb_t3_act_0,VECtanh,"[('VECtanh', (327680, 16))]",[],[],"[(327680, 16)]","(327680, 16)"
emb_t3_linear_1,Linear,"[('Linear', (327680, 16, 32))]",[],[],"[(327680, 16)]","(327680, 32)"
emb_t3_act_1,VECtanh,"[('VECtanh', (327680, 32))]",[],[],"[(327680, 32)]","(327680, 32)"
emb_t3_concat_1,MEM,"[('MEM', [(327680, 32)])]",[],[],"[(327680, 16)]","(327680, 32)"
emb_t3_res_1,VECadd,"[('VECadd', (327680, 32))]",[],[],"[(327680, 32), (327680, 32)]","(327680, 32)"
emb_t3_linear_2,Linear,"[('Linear', (327680, 32, 64))]",[],[],"[(327680, 32)]","(327680, 64)"
emb_t3_act_2,VECtanh,"[('VECtanh', (327680, 64))]",[],[],"[(327680, 64)]","(327680, 64)"
emb_t3_concat_2,MEM,"[('MEM', [(327680, 64)])]",[],[],"[(327680, 32)]","(327680, 64)"
emb_t3_res_2,VECadd,"[('VECadd', (327680, 64))]",[],[],"[(327680, 64), (327680, 64)]","(327680, 64)"
emb_t3_matmul,BMM,"[('BMM', (4096, 4, 80, 64))]",[],[],"[(4096, 80, 4), (4096, 80, 64)]","(4096, 4, 64)"
emb_t3_accum,VECadd,"[('VECadd', (4096, 256))]",[],[],"[(4096, 256), (4096, 256)]","(4096, 256)"
emb_t4_linear_0,Linear,"[('Linear', (327680, 1, 16))]",[],[],"[(327680, 1)]","(327680, 16)"
emb_t4_act_0,VECtanh,"[('VECtanh', (327680, 16))]",[],[],"[(327680, 16)]","(327680, 16)"
emb_t4_linear_1,Linear,"[('Linear', (327680, 16, 32))]",[],[],"[(327680, 16)]","(327680, 32)"
emb_t4_act_1,VECtanh,"[('VECtanh', (327680, 32))]",[],[],"[(327680, 32)]","(327680, 32)"
emb_t4_concat_1,MEM,"[('MEM', [(327680, 32)])]",[],[],"[(327680, 16)]","(327680, 32)"
emb_t4_res_1,VECadd,"[('VECadd', (327680, 32))]",[],[],"[(327680, 32), (327680, 32)]","(327680, 32)"
emb_t4_linear_2,Linear,"[('Linear', (327680, 32, 64))]",[],[],"[(327680, 32)]","(327680, 64)"
emb_t4_act_2,VECtanh,"[('VECtanh', (327680, 64))]",[],[],"[(327680, 64)]","(327680, 64)"
emb_t4_concat_2,MEM,"[('MEM', [(327680, 64)])]",[],[],"[(327680, 32)]","(327680, 64)"
emb_t4_res_2,VECadd,"[('VECadd', (327680, 64))]",[],[],"[(327680, 64), (327680, 64)]","(327680, 64)"
emb_t4_matmul,BMM,"[('BMM', (4096, 4, 80, 64))]",[],[],"[(4096, 80, 4), (4096, 80, 64)]","(4096, 4, 64)"
emb_t4_accum,VECadd,"[('VECadd', (4096, 256))]",[],[],"[(4096, 256), (4096, 256)]","(4096, 256)"
emb_t5_linear_0,Linear,"[('Linear', (327680, 1, 16))]",[],[],"[(327680, 1)]","(327680, 16)"
emb_t5_act_0,VECtanh,"[('VECtanh', (327680, 16))]",[],[],"[(327680, 16)]","(327680, 16)"
emb_t5_linear_1,Linear,"[('Linear', (327680, 16, 32))]",[],[],"[(327680, 16)]","(327680, 32)"
emb_t5_act_1,VECtanh,"[('VECtanh', (327680, 32))]",[],[],"[(327680, 32)]","(327680, 32)"
emb_t5_concat_1,MEM,"[('MEM', [(327680, 32)])]",[],[],"[(327680, 16)]","(327680, 32)"
emb_t5_res_1,VECadd,"[('VECadd', (327680, 32))]",[],[],"[(327680, 32), (327680, 32)]","(327680, 32)"
emb_t5_linear_2,Linear,"[('Linear', (327680, 32, 64))]",[],[],"[(327680, 32)]","(327680, 64)"
emb_t5_act_2,VECtanh,"[('VECtanh', (327680, 64))]",[],[],"[(327680, 64)]","(327680, 64)"
emb_t5_concat_2,MEM,"[('MEM', [(327680, 64)])]",[],[],"[(327680, 32)]","(327680, 64)"
emb_t5_res_2,VECadd,"[('VECadd', (327680, 64))]",[],[],"[(327680, 64), (327680, 64)]","(327680, 64)"
emb_t5_matmul,BMM,"[('BMM', (4096, 4, 80, 64))]",[],[],"[(4096, 80, 4), (4096, 80, 64)]","(4096, 4, 64)"
emb_t5_accum,VECadd,"[('VECadd', (4096, 256))]",[],[],"[(4096, 256), (4096, 256)]","(4096, 256)"
desc_normalize,VECmul,"[('VECmul', (4096, 256))]",[],[],"[(4096, 256)]","(4096, 256)"
desc_final_matmul,BMM,"[('BMM', (4096, 64, 4, 16))]",[],[],"[(4096, 64, 4), (4096, 4, 16)]","(4096, 64, 16)"
desc_reshape,MEM,"[('MEM', [(4096, 1024)])]",[],[],"[(4096, 64, 16)]","(4096, 1024)"
