Name,OpName,FwOps,BwOps,AccOps,InputShapes,OutputShape
nlist_gather,MEM,"[('MEM', [(30720, 3)])]",[],[],"[(30720, 3)]","(30720, 3)"
env_gather,MEM,"[('MEM', [(256, 120, 3)])]",[],[],"[(256, 120, 3)]","(256, 120, 3)"
env_diff_norm,VECadd,"[('VECadd', (30720, 3))]",[],[],"[(30720, 3), (30720, 3)]","(30720, 3)"
env_inv_r,VECmul,"[('VECmul', (30720, 4))]",[],[],"[(30720, 4)]","(30720, 4)"
env_smooth_weight,VECmul,"[('VECmul', (30720, 1))]",[],[],"[(30720, 1)]","(30720, 1)"
env_mat_mul,VECmul,"[('VECmul', (30720, 4))]",[],[],"[(30720, 4), (30720, 1)]","(30720, 4)"
env_normalize,VECadd,"[('VECadd', (30720, 4))]",[],[],"[(30720, 4), (30720, 4)]","(30720, 4)"
emb_t0_linear_0,Linear,"[('Linear', (30720, 1, 25))]",[],[],"[(30720, 1)]","(30720, 25)"
emb_t0_act_0,VECtanh,"[('VECtanh', (30720, 25))]",[],[],"[(30720, 25)]","(30720, 25)"
emb_t0_linear_1,Linear,"[('Linear', (30720, 25, 50))]",[],[],"[(30720, 25)]","(30720, 50)"
emb_t0_act_1,VECtanh,"[('VECtanh', (30720, 50))]",[],[],"[(30720, 50)]","(30720, 50)"
emb_t0_concat_1,MEM,"[('MEM', [(30720, 50)])]",[],[],"[(30720, 25)]","(30720, 50)"
emb_t0_res_1,VECadd,"[('VECadd', (30720, 50))]",[],[],"[(30720, 50), (30720, 50)]","(30720, 50)"
emb_t0_linear_2,Linear,"[('Linear', (30720, 50, 100))]",[],[],"[(30720, 50)]","(30720, 100)"
emb_t0_act_2,VECtanh,"[('VECtanh', (30720, 100))]",[],[],"[(30720, 100)]","(30720, 100)"
emb_t0_concat_2,MEM,"[('MEM', [(30720, 100)])]",[],[],"[(30720, 50)]","(30720, 100)"
emb_t0_res_2,VECadd,"[('VECadd', (30720, 100))]",[],[],"[(30720, 100), (30720, 100)]","(30720, 100)"
emb_t0_matmul,BMM,"[('BMM', (256, 4, 120, 100))]",[],[],"[(256, 120, 4), (256, 120, 100)]","(256, 4, 100)"
desc_normalize,VECmul,"[('VECmul', (256, 400))]",[],[],"[(256, 400)]","(256, 400)"
desc_final_matmul,BMM,"[('BMM', (256, 100, 4, 16))]",[],[],"[(256, 100, 4), (256, 4, 16)]","(256, 100, 16)"
desc_reshape,MEM,"[('MEM', [(256, 1600)])]",[],[],"[(256, 100, 16)]","(256, 1600)"
fit_linear_0,Linear,"[('Linear', (256, 1600, 240))]",[],[],"[(256, 1600)]","(256, 240)"
fit_act_0,VECtanh,"[('VECtanh', (256, 240))]",[],[],"[(256, 240)]","(256, 240)"
fit_linear_1,Linear,"[('Linear', (256, 240, 240))]",[],[],"[(256, 240)]","(256, 240)"
fit_act_1,VECtanh,"[('VECtanh', (256, 240))]",[],[],"[(256, 240)]","(256, 240)"
fit_res_1,VECadd,"[('VECadd', (256, 240))]",[],[],"[(256, 240), (256, 240)]","(256, 240)"
fit_linear_2,Linear,"[('Linear', (256, 240, 240))]",[],[],"[(256, 240)]","(256, 240)"
fit_act_2,VECtanh,"[('VECtanh', (256, 240))]",[],[],"[(256, 240)]","(256, 240)"
fit_res_2,VECadd,"[('VECadd', (256, 240))]",[],[],"[(256, 240), (256, 240)]","(256, 240)"
output_linear,Linear,"[('Linear', (256, 240, 1))]",[],[],"[(256, 240)]","(256, 1)"
energy_sum,VECadd,"[('VECadd', (256, 1))]",[],[],"[(256, 1)]","(1,)"
